Request ID;Request Criticality (1-5);Time Sent in ms since epoch;Time Received answer in ms since epoch;Total Time in ms
1;2;1516277079781;1516277079827;46
2;5;1516277079781;1516277079793;12
3;2;1516277079781;1516277079802;21
4;1;1516277079781;1516277079802;21
5;3;1516277079781;1516277079811;30
6;1;1516277079781;1516277079819;38
7;4;1516277079782;1516277079810;28
8;2;1516277079782;1516277079842;60
9;2;1516277079782;1516277079847;65
10;4;1516277079782;1516277079798;16
11;1;1516277079782;1516277079807;25
12;1;1516277079782;1516277079894;112
13;2;1516277079782;1516277079814;32
14;1;1516277079782;1516277079889;107
15;5;1516277079782;1516277079801;19
16;3;1516277079782;1516277079813;31
17;2;1516277079782;1516277079810;28
18;1;1516277079782;1516277079788;6
19;3;1516277079782;1516277079793;11
20;2;1516277079782;1516277079846;64
21;1;1516277079782;1516277079810;28
22;1;1516277079782;1516277079827;45
23;2;1516277079782;1516277079787;5
24;2;1516277079782;1516277079844;62
25;3;1516277079782;1516277079840;58
26;5;1516277079782;1516277079817;35
27;2;1516277079782;1516277079848;66
28;1;1516277079782;1516277079896;114
29;5;1516277079782;1516277079811;29
30;2;1516277079782;1516277079861;79
31;1;1516277079782;1516277079868;86
32;1;1516277080782;1516277080827;45
33;1;1516277080782;1516277080892;110
34;1;1516277080782;1516277080818;36
35;2;1516277080782;1516277080867;85
36;1;1516277080783;1516277080836;53
37;5;1516277080783;1516277080814;31
38;1;1516277080783;1516277080826;43
39;5;1516277080783;1516277080802;19
40;1;1516277080783;1516277080852;69
41;4;1516277080783;1516277080838;55
42;2;1516277080783;1516277080816;33
43;1;1516277080783;1516277080791;8
44;5;1516277080783;1516277080808;25
45;3;1516277080783;1516277080822;39
46;1;1516277080783;1516277080803;20
47;2;1516277080783;1516277080805;22
48;2;1516277080783;1516277080837;54
49;1;1516277080783;1516277080857;74
50;4;1516277080783;1516277080817;34
51;2;1516277080783;1516277080805;22
52;2;1516277080783;1516277080810;27
53;2;1516277080783;1516277080864;81
54;2;1516277080783;1516277080867;84
55;1;1516277080783;1516277080831;48
56;1;1516277080783;1516277080883;100
57;2;1516277080783;1516277080819;36
58;1;1516277080783;1516277080804;21
59;1;1516277080783;1516277080860;77
60;2;1516277080783;1516277080853;70
61;1;1516277080783;1516277080835;52
62;2;1516277080783;1516277080847;64
63;2;1516277080783;1516277080810;27
64;2;1516277080783;1516277080862;79
65;2;1516277080783;1516277080829;46
66;3;1516277080783;1516277080857;74
67;3;1516277080783;1516277080814;31
68;1;1516277080783;1516277080867;84
69;2;1516277080783;1516277080858;75
70;1;1516277081783;1516277081868;85
71;2;1516277081784;1516277081828;44
72;2;1516277081784;1516277081880;96
73;3;1516277081784;1516277081803;19
74;2;1516277081784;1516277081808;24
75;1;1516277081784;1516277081874;90
76;5;1516277081784;1516277081799;15
77;2;1516277081784;1516277081813;29
78;2;1516277081784;1516277081860;76
79;1;1516277081784;1516277081797;13
80;3;1516277081784;1516277081803;19
81;2;1516277081784;1516277081791;7
82;1;1516277081784;1516277081877;93
83;2;1516277081784;1516277081838;54
84;1;1516277081784;1516277081869;85
85;2;1516277081784;1516277081853;69
86;2;1516277081784;1516277081842;58
87;2;1516277081784;1516277081822;38
88;1;1516277081784;1516277081885;101
89;2;1516277081784;1516277081808;24
90;1;1516277081785;1516277081811;26
91;2;1516277081785;1516277081790;5
92;1;1516277081785;1516277081809;24
93;3;1516277081785;1516277081809;24
94;2;1516277081785;1516277081828;43
95;1;1516277081785;1516277081811;26
96;2;1516277081785;1516277081833;48
97;1;1516277081785;1516277081880;95
98;2;1516277081785;1516277081790;5
99;2;1516277081785;1516277081818;33
100;2;1516277082785;1516277082863;78
101;1;1516277082785;1516277082823;38
102;3;1516277082785;1516277082822;37
103;2;1516277082785;1516277082831;46
104;4;1516277082785;1516277082818;33
105;1;1516277082785;1516277082805;20
106;4;1516277082785;1516277082836;51
